text,speaker,start,end
 So she should have had a robot tell you that the recording is in progress; perfect.,SPEAKER_00,0:00:00,0:00:06.440000
 So is it Cosmo; I believe?,SPEAKER_00,0:00:06.440000,0:00:09.320000
 Yeah.,SPEAKER_00,0:00:09.320000,0:00:10.320000
 That is such a cool name.,SPEAKER_00,0:00:10.320000,0:00:11.520000
 I don't know if your mum has told you about the study yet; but I'm just going to run,SPEAKER_00,0:00:11.520000,0:00:14.440000
 through a bit of the information with you now just to check you understand everything.,SPEAKER_00,0:00:14.440000,0:00:18.800000
 And then after that; you can tell me if you agree to participate in the study; does that,SPEAKER_00,0:00:18.800000,0:00:22.080000
 sound okay?,SPEAKER_00,0:00:22.080000,0:00:23.080000
 Okay.,SPEAKER_00,0:00:23.080000,0:00:24.080000
 Yeah; so I'll share my screen just so you're able to see what I'm reading out because,SPEAKER_00,0:00:24.080000,0:00:28.080000
 I don't know about you; but I sometimes refer to see something visually opposed to someone,SPEAKER_00,0:00:28.080000,0:00:32.960000
 just reading at me.,SPEAKER_00,0:00:32.960000,0:00:34.360000
 So if I just share my screen; so you should be able to see the screen now.,SPEAKER_00,0:00:34.360000,0:00:41.680000
 Yeah.,SPEAKER_00,0:00:41.680000,0:00:42.680000
 So essentially I'm part of a team of researchers at the University College in London and we're,SPEAKER_00,0:00:42.680000,0:00:48.160000
 just doing a little bit of research to help us understand a bit more about parent adolescent,SPEAKER_00,0:00:48.160000,0:00:52.760000
 relationships; so parents and their children between sort of 11 and 15 years old and communication.,SPEAKER_00,0:00:52.760000,0:00:59.600000
 So essentially the study involves you playing an online game today with your mum for eight,SPEAKER_00,0:00:59.600000,0:01:04.480000
 minutes.,SPEAKER_00,0:01:04.480000,0:01:05.480000
 We're going to use Zoom to record a video of you're playing.,SPEAKER_00,0:01:05.480000,0:01:09.360000
 Don't worry; the game doesn't require any gaming skill.,SPEAKER_00,0:01:09.360000,0:01:12.200000
 The rules are very simple and we'll be explained before we start.,SPEAKER_00,0:01:12.200000,0:01:16.280000
 It's designed to be fun.,SPEAKER_00,0:01:16.280000,0:01:17.600000
 I've had a bit of a go myself.,SPEAKER_00,0:01:17.600000,0:01:18.800000
 I think it was; I think it's quite fun.,SPEAKER_00,0:01:18.800000,0:01:20.400000
 So hopefully you will too.,SPEAKER_00,0:01:20.400000,0:01:23.080000
 All of the information; as I said; will be kept safe and secure.,SPEAKER_00,0:01:23.080000,0:01:25.880000
 No one outside of the research team will see your video and the only time you would tell,SPEAKER_00,0:01:25.880000,0:01:29.840000
 someone is if we are worried about your safety; which I'm sure will not be an issue today.,SPEAKER_00,0:01:29.840000,0:01:34.560000
 So do you have to take part?,SPEAKER_00,0:01:34.560000,0:01:36.320000
 No; it is completely up to you.,SPEAKER_00,0:01:36.320000,0:01:37.880000
 So you can have a chat with your mum now.,SPEAKER_00,0:01:37.880000,0:01:39.280000
 You can let me know if you have any questions.,SPEAKER_00,0:01:39.280000,0:01:41.480000
 If you do decide you would like to take part; we can get going with a video.,SPEAKER_00,0:01:41.480000,0:01:45.320000
 If you don't want to take part; you can let me know.,SPEAKER_00,0:01:45.320000,0:01:47.440000
 And also if we start and you feel that you don't want to continue; you can let me know,SPEAKER_00,0:01:47.440000,0:01:50.880000
 as well.,SPEAKER_00,0:01:50.880000,0:01:51.880000
 So do you feel happy to continue?,SPEAKER_00,0:01:51.880000,0:01:54.520000
 Yeah.,SPEAKER_00,0:01:54.520000,0:01:55.520000
 Yeah.,SPEAKER_00,0:01:55.520000,0:01:56.520000
 And do you have any sort of questions?,SPEAKER_00,0:01:56.520000,0:01:59.520000
 Ah; no.,SPEAKER_00,0:01:59.520000,0:02:00.520000
 No?,SPEAKER_00,0:02:00.520000,0:02:01.520000
 Perfect.,SPEAKER_00,0:02:01.520000,0:02:02.520000
 So I'll just stop sharing my screen.,SPEAKER_00,0:02:02.520000,0:02:05.520000
 Brilliant.,SPEAKER_00,0:02:05.520000,0:02:06.520000
 So I'm now going to just send a link into the chat; which is the link to the game.,SPEAKER_00,0:02:06.520000,0:02:13.160000
 So if I just pop that in for you; does that come up in the chat?,SPEAKER_00,0:02:13.160000,0:02:17.400000
 Yeah.,SPEAKER_01,0:02:17.400000,0:02:18.400000
 So I've clicked it already.,SPEAKER_01,0:02:18.400000,0:02:22.400000
 Mm-hmm.,SPEAKER_01,0:02:22.400000,0:02:23.400000
 Is the game a kiddo?,SPEAKER_01,0:02:23.400000,0:02:24.400000
 Let me just move this so you can see.,SPEAKER_01,0:02:24.400000,0:02:26.400000
 So it should give you the option to choose between keyboard and touch screen so you can,SPEAKER_00,0:02:26.400000,0:02:30.720000
 choose the one that applies.,SPEAKER_00,0:02:30.720000,0:02:32.720000
 Oh.,SPEAKER_01,0:02:32.720000,0:02:33.720000
 I don't think all my touch screen; well; how; what is keyboard then?,SPEAKER_01,0:02:33.720000,0:02:39.760000
 This one?,SPEAKER_01,0:02:39.760000,0:02:40.760000
 The keyboard is if you've got like; um; the key; you know; like a computer.,SPEAKER_00,0:02:40.760000,0:02:44.640000
 So yeah; feel free to just choose which one.,SPEAKER_00,0:02:44.640000,0:02:46.960000
 I'm not going to keyboard.,SPEAKER_00,0:02:46.960000,0:02:48.600000
 Yeah.,SPEAKER_00,0:02:48.600000,0:02:49.600000
 Just be arrows.,SPEAKER_01,0:02:49.600000,0:02:50.600000
 Yeah; it's just sort of two; um; keys; um; and would you be able to share your screen,SPEAKER_00,0:02:50.600000,0:02:56.600000
